,0_exp_outcome,0_exp_prob,0_ml_odds,0_odds_diff,0_outcome,0_prev_fights,1_exp_outcome,1_exp_prob,1_ml_odds,1_odds_diff,1_outcome,1_prev_fights,bet_result,expected_outcome
eed6c9aff2234b7a,0.6462823762148336,47.742188910230176,29.0,18.742188910230176,0.0,30.0,-0.3032291854697357,52.257811089769824,75.0,-22.742188910230176,1.0,11.0,-1.0,0.6462823762148336
5868c154789648f0,0.09471964844941871,47.07294488332501,43.0,4.0729448833250075,0.0,13.0,-0.1178824147220835,52.92705511667499,60.0,-7.0729448833250075,1.0,3.0,-1.0,0.09471964844941871
63dd38f0dcc2ee88,-0.30472894235055115,53.535871439007565,77.0,-23.464128560992435,0.0,4.0,0.7870818677304784,46.464128560992435,26.0,20.464128560992435,1.0,13.0,2.8461538461538463,0.7870818677304784
702759500d47a059,0.10600304646466119,58.618161462627036,53.0,5.618161462627036,0.0,4.0,-0.18859140122798118,41.381838537372964,51.0,-9.618161462627036,1.0,10.0,-1.0,0.10600304646466119
32a8f38bd1d46e3e,-0.4279877699229777,38.89683164523751,68.0,-29.103168354762488,1.0,9.0,0.6973102320767355,61.10316835476248,36.0,25.10316835476248,0.0,17.0,-1.0,0.6973102320767355
ff467a5f06a91a0f,-0.2913959073612605,41.807641465685634,59.0,-17.192358534314366,1.0,1.0,0.3225536030525993,58.19235853431437,44.0,14.192358534314373,0.0,11.0,-1.0,0.3225536030525993
037d2f426c916ffc,-0.13525176937309052,64.85611729701822,75.0,-10.143882702981784,1.0,10.0,0.21185802424075129,35.143882702981784,29.0,6.143882702981784,0.0,16.0,-1.0,0.21185802424075129
7dcd5d8a44a284e5,-0.12573954237439178,62.94675294904379,72.0,-9.053247050956209,1.0,5.0,0.15791397034238142,37.05324705095621,32.0,5.053247050956209,0.0,2.0,-1.0,0.15791397034238142
2ef54419defb2364,-0.37346513118879177,42.60437107916216,68.0,-25.395628920837837,0.0,21.0,0.5512332140766982,57.39562892083784,37.0,20.395628920837837,1.0,13.0,1.7027027027027026,0.5512332140766982
3fd3b871e83434c5,-0.187768502363418,64.97851981092656,80.0,-15.021480189073444,1.0,2.0,0.459228341211393,35.021480189073436,24.0,11.021480189073436,0.0,1.0,-1.0,0.459228341211393
ed94cdc0f2b97e15,-0.16774932860717018,58.25754699749809,70.0,-11.742453002501911,1.0,6.0,0.22771920595593853,41.74245300250191,34.0,7.742453002501911,0.0,16.0,-1.0,0.22771920595593853
737e2781e4a7db5c,-0.36991064633168996,54.817773769142974,87.0,-32.182226230857026,1.0,3.0,1.6577780135798252,45.182226230857026,17.0,28.182226230857026,0.0,2.0,-1.0,1.6577780135798252
326b843cb2b7fd94,0.29800254651231994,63.602124779103676,49.0,14.602124779103676,0.0,3.0,-0.3382204505291577,36.397875220896324,55.0,-18.602124779103676,1.0,4.0,-1.0,0.29800254651231994
57961c6adebfb13d,0.5758327684451633,50.42664859024523,32.0,18.42664859024523,1.0,1.0,-0.3114812304200726,49.57335140975477,72.0,-22.42664859024523,0.0,3.0,2.125,0.5758327684451633
d3f44fedc561d2d5,0.07879392973144317,49.62452076764638,46.0,3.6245207676463806,1.0,2.0,-0.13145725461459284,50.37547923235361,58.0,-7.624520767646388,0.0,1.0,1.173913043478261,0.07879392973144317
5ab2a4fec735e0b2,-0.08434578634391998,49.44532753742833,54.0,-4.5546724625716735,0.0,1.0,0.01109344925143363,50.55467246257168,50.0,0.5546724625716806,1.0,1.0,1.0,0.01109344925143363
fae99a4089f8abb0,0.6282583396757045,40.70645849189262,25.0,15.706458491892619,0.0,6.0,-0.25883073114865773,59.29354150810738,80.0,-20.70645849189262,1.0,19.0,-1.0,0.6282583396757045
be822403f364fff3,-0.13626203157164685,46.64185029513107,54.0,-7.358149704868929,0.0,8.0,0.046238229507233886,53.35814970486893,51.0,2.3581497048689286,1.0,5.0,0.9607843137254901,0.046238229507233886
cefb47bcc04f540e,-0.3928037194618779,42.503739637668545,70.0,-27.496260362331455,1.0,18.0,0.6910664812450428,57.496260362331455,34.0,23.496260362331455,0.0,12.0,-1.0,0.6910664812450428
11f7bac5037a184c,0.2067437905136006,62.75067710670723,52.0,10.75067710670723,0.0,11.0,-0.2836668674366775,37.24932289329277,52.0,-14.75067710670723,1.0,4.0,-1.0,0.2067437905136006
801b3f24c670f19a,-0.2796031387144056,50.42778028999161,70.0,-19.57221971000839,0.0,14.0,0.45800646205907036,49.57221971000839,34.0,15.57221971000839,1.0,13.0,1.9411764705882353,0.45800646205907036
a02ffaf1fe462d28,0.13555164266684122,74.94640841601152,66.0,8.946408416011522,0.0,2.0,-0.3406949583160927,25.053591583988478,38.0,-12.946408416011522,1.0,21.0,-1.0,0.13555164266684122
08426f06239d903c,0.01691020890069439,43.727138982729855,43.0,0.7271389827298549,1.0,15.0,-0.0774940816840961,56.27286101727014,61.0,-4.727138982729862,0.0,3.0,1.3255813953488371,0.01691020890069439
8725dc88f2e0a6f3,-0.374858013619488,45.01022301939687,72.0,-26.989776980603132,1.0,2.0,0.773863773567843,54.98977698060313,31.0,23.989776980603132,0.0,5.0,-1.0,0.773863773567843
b41e3be867afd6fa,0.05307654971955328,64.23766953289275,61.0,3.2376695328927525,1.0,10.0,-0.1683178961137849,35.76233046710725,43.0,-7.2376695328927525,0.0,2.0,0.639344262295082,0.05307654971955328
eab100e978c730c5,-0.23077879638049892,45.38405101355056,59.0,-13.615948986449439,1.0,8.0,0.18730323883585742,54.61594898644944,46.0,8.615948986449439,0.0,13.0,-1.0,0.18730323883585742
f3e2038bfb9b5d9d,-0.00623613812831636,43.72560992235408,44.0,-0.2743900776459185,0.0,23.0,-0.046196778344984424,56.27439007764592,59.0,-2.7256099223540815,1.0,9.0,0.0,0.0
94c0819fde11364d,-0.17976083907990917,64.79889371268717,79.0,-14.201106287312825,1.0,8.0,0.46671276197136746,35.201106287312825,24.0,11.201106287312825,0.0,2.0,-1.0,0.46671276197136746
51218519be104794,0.27917937939629,48.60881641705902,38.0,10.608816417059018,0.0,2.0,-0.20936640641629262,51.39118358294098,65.0,-13.608816417059018,1.0,4.0,-1.0,0.27917937939629
2b417eb1ffa56ac1,-0.22888653669941428,42.41124048153221,55.0,-12.58875951846779,0.0,4.0,0.1517751903693556,57.58875951846778,50.0,7.588759518467782,1.0,3.0,1.0,0.1517751903693556
9bc18b63b07bb328,0.20040427595804944,50.41697959023808,42.0,8.416979590238078,0.0,1.0,-0.18716359983996844,49.58302040976192,61.0,-11.416979590238078,1.0,9.0,-1.0,0.20040427595804944
f882cf76a8bce308,0.11606482508130911,56.91930607914677,51.0,5.9193060791467715,1.0,5.0,-0.2022093718360513,43.08069392085323,54.0,-10.919306079146772,0.0,3.0,0.9607843137254901,0.11606482508130911
03c2707563915d7d,0.664711094372994,69.91786596366575,42.0,27.917865963665747,1.0,4.0,-0.16438516565738193,30.082134036334253,36.0,-5.917865963665747,0.0,2.0,1.380952380952381,0.664711094372994
6d48f75153e4ad6b,0.035010448823458495,48.64549109470255,47.0,1.6454910947025496,1.0,1.0,-0.09904370341583418,51.35450890529745,57.0,-5.64549109470255,0.0,4.0,1.127659574468085,0.035010448823458495
5fceb95c29d929bc,0.012685875965314342,60.76115255791886,60.0,0.7611525579188623,1.0,13.0,-0.10820801267997415,39.23884744208114,44.0,-4.761152557918862,0.0,13.0,0.6666666666666666,0.012685875965314342
3bd20b66b585d621,-0.3388979585766872,22.477469408392636,34.0,-11.522530591607364,0.0,3.0,0.10746472273724805,77.52253059160736,70.0,7.522530591607364,1.0,12.0,0.42857142857142855,0.10746472273724805
ecc23234e820458d,0.07933828050542813,33.459486695668275,31.0,2.459486695668275,0.0,1.0,-0.07582620410650381,66.54051330433172,72.0,-5.459486695668275,1.0,4.0,-1.0,0.07933828050542813
e30b9829e42aa4ca,-0.36477563806796987,31.12599373466948,49.0,-17.87400626533052,1.0,9.0,0.25225465936964586,68.87400626533052,55.0,13.874006265330522,0.0,2.0,-1.0,0.25225465936964586
533d0b5c0adfa15f,-0.10803684113664314,42.81423162544113,48.0,-5.185768374558869,1.0,1.0,0.021174435259979807,57.18576837455886,56.0,1.1857683745588616,0.0,3.0,-1.0,0.021174435259979807
e8219ea7da46f67f,0.12821242788171017,48.51313439891354,43.0,5.513134398913543,1.0,7.0,-0.15595302293300878,51.486865601086464,61.0,-9.513134398913536,0.0,16.0,1.3255813953488371,0.12821242788171017
f5b49f4c5a27e53b,0.5921524830536067,57.31748938992985,36.0,21.317489389929847,0.0,7.0,-0.3723160204401448,42.68251061007015,68.0,-25.317489389929847,1.0,4.0,-1.0,0.5921524830536067
d9a218ac3e148541,0.04972665668068221,44.08851958058865,42.0,2.0885195805886525,1.0,1.0,-0.09820192871917188,55.91148041941134,62.0,-6.08851958058866,0.0,5.0,1.380952380952381,0.04972665668068221
891470d896b1de5a,-0.10914458965554025,57.01474626204542,64.0,-6.985253737954579,1.0,16.0,0.07463134344886446,42.98525373795458,40.0,2.9852537379545794,0.0,6.0,-1.0,0.07463134344886446
cd258394e8d58d04,0.9745920241652754,55.28857667662771,28.0,27.288576676627713,0.0,7.0,-0.41169179837668035,44.71142332337229,76.0,-31.288576676627713,1.0,2.0,-1.0,0.9745920241652754
467e08195b29e857,0.3552228632390624,75.8924803413875,56.0,19.892480341387497,1.0,1.0,-0.49776000711223944,24.10751965861251,48.0,-23.89248034138749,0.0,5.0,0.7857142857142858,0.3552228632390624
a70c43cafabc73c3,1.0191858159130194,40.38371631826039,20.0,20.38371631826039,0.0,3.0,-0.29028233712214746,59.61628368173961,84.0,-24.38371631826039,1.0,1.0,-1.0,1.0191858159130194
d671f436fab2a252,0.08380808824331798,52.022788235679265,48.0,4.022788235679265,1.0,9.0,-0.14326407563712962,47.977211764320735,56.0,-8.022788235679265,0.0,2.0,1.0833333333333333,0.08380808824331798
b46f2f007b622bce,-0.06634253938866921,69.09065208523847,74.0,-4.9093479147615255,1.0,7.0,0.03031159715871734,30.90934791476152,30.0,0.9093479147615184,0.0,12.0,-1.0,0.03031159715871734
d66a8591af39ca7b,0.06601827532938964,44.772767563834364,42.0,2.772767563834364,1.0,20.0,-0.09463553383335033,55.22723243616563,61.0,-5.772767563834371,0.0,12.0,1.380952380952381,0.06601827532938964
4d607b6ddc77a34c,-0.1795039254715295,37.742819428309645,46.0,-8.257180571690355,0.0,8.0,0.07339966502914419,62.25718057169036,58.0,4.257180571690363,1.0,16.0,0.7241379310344828,0.07339966502914419
60c441c5838dfac2,-0.47308049918355854,39.51896256123311,75.0,-35.48103743876689,1.0,1.0,1.0855530151298927,60.48103743876689,29.0,31.48103743876689,0.0,2.0,-1.0,1.0855530151298927
e0b323dae5bf4c90,0.017615155003558147,46.810297130163676,46.0,0.8102971301636757,1.0,21.0,-0.08293615741661498,53.18970286983633,58.0,-4.8102971301636686,0.0,16.0,1.173913043478261,0.017615155003558147
5cee1d8f1e43d6f5,0.013904540817669675,44.61179979597746,44.0,0.6117997959774613,0.0,22.0,-0.07686332993295786,55.38820020402253,60.0,-4.611799795977468,1.0,13.0,-1.0,0.013904540817669675
c26a3f4c08333886,0.9939066239362058,43.86594572659653,22.0,21.86594572659653,0.0,6.0,-0.3154383625194698,56.13405427340348,82.0,-25.86594572659652,1.0,8.0,-1.0,0.9939066239362058
5bba49d88db7430f,0.4694589518300075,66.12565283235034,45.0,21.12565283235034,1.0,12.0,-0.425858522582209,33.87434716764967,59.0,-25.125652832350333,0.0,4.0,1.2222222222222223,0.4694589518300075
dc45c8d70e256749,0.15667404907794213,46.26696196311769,40.0,6.266961963117687,0.0,13.0,-0.16042128067371375,53.73303803688232,64.0,-10.26696196311768,1.0,19.0,-1.0,0.15667404907794213
b3c74554c871fbf8,-0.49980145251074176,32.012707039312524,64.0,-31.987292960687476,0.0,14.0,0.6996823240171869,67.98729296068747,40.0,27.98729296068747,1.0,7.0,1.5,0.6996823240171869
9fc6aba53508dc48,-0.26635717945841575,35.94849820653763,49.0,-13.051501793462371,0.0,3.0,0.14377681774039963,64.05150179346238,56.0,8.051501793462378,1.0,9.0,0.7857142857142858,0.14377681774039963
02f5621f480ad1d4,0.42677497568522915,48.51034917329779,34.0,14.51034917329779,0.0,21.0,-0.26443355961854,51.4896508267022,70.0,-18.510349173297797,1.0,6.0,-1.0,0.42677497568522915
f0d4652f8edfbe6d,-0.10991169260341982,61.41609321036403,69.0,-7.583906789635968,1.0,5.0,0.10239733684674202,38.58390678963597,35.0,3.583906789635968,0.0,1.0,-1.0,0.10239733684674202
b9abcce29378e5cc,0.16702158676479906,66.52023044559354,57.0,9.52023044559354,1.0,18.0,-0.2876644775658201,33.47976955440646,47.0,-13.52023044559354,0.0,31.0,0.7543859649122808,0.16702158676479906
593f3b051aa82b0f,-0.28917127000754994,54.0229834794262,76.0,-21.977016520573798,0.0,13.0,0.6420363043062072,45.9770165205738,28.0,17.977016520573798,1.0,11.0,2.5714285714285716,0.6420363043062072
3f810c3433dddb80,-0.1180232577561309,64.38430218380245,73.0,-8.615697816197553,1.0,13.0,0.1488934779418566,35.61569781619755,31.0,4.615697816197553,0.0,10.0,-1.0,0.1488934779418566
08244974cf39ae38,-0.03452026071927761,63.72166279252768,66.0,-2.278337207472319,1.0,3.0,-0.04530691559283362,36.27833720747232,38.0,-1.721662792527681,0.0,6.0,0.0,0.0
b70dfff154b135bf,0.19167811132358392,29.7919527830896,25.0,4.791952783089599,0.0,18.0,-0.11129054155809612,70.2080472169104,79.0,-8.791952783089599,1.0,3.0,-1.0,0.19167811132358392
d395828f5cb045a5,-0.16750080951427912,58.27494333400046,70.0,-11.725056665999539,0.0,15.0,0.2272075489999864,41.72505666599954,34.0,7.7250566659995386,1.0,6.0,1.9411764705882353,0.2272075489999864
4e77cc2c8d604241,0.2385585825976202,44.58810897351433,36.0,8.58810897351433,0.0,6.0,-0.18511924961050485,55.41189102648567,68.0,-12.58810897351433,1.0,11.0,-1.0,0.2385585825976202
fcfaa28ed6888088,0.09238631896663252,36.04874852589887,33.0,3.0487485258988727,0.0,4.0,-0.09927814825209685,63.95125147410112,71.0,-7.04874852589888,1.0,11.0,-1.0,0.09238631896663252
